subject,age_months,session,visit_months
24,14.55,1,14
24,18.35,2,18
24,22.52,3,22
24,26.45,4,26
24,29.94,5,30
24,33.84,6,34
24,38.35,7,38
24,41.9,8,42
24,46.68,9,46
24,50.45,10,50
24,55.35,11,54
24,59,12,58
29,14.61,1,14
29,17.94,2,18
29,22,3,22
29,26.03,4,26
29,29.97,5,30
29,33.84,6,34
29,37.81,7,38
29,41.71,8,42
29,46.03,9,46
29,50.39,10,50
29,55.26,11,54
29,58,12,58
33,13.84,1,14
33,17.52,2,18
33,22.45,3,22
33,25.65,4,26
33,29.61,5,30
33,33.9,6,34
33,38.1,7,38
33,42.19,8,42
33,46.16,9,46
33,50.48,10,50
33,54.52,11,54
33,57.77,12,58
37,14.1,1,14
37,18.26,2,18
37,22.29,3,22
37,25.71,4,26
37,30.03,5,30
37,34.19,6,34
37,38.26,7,38
37,42.16,8,42
37,46.58,9,46
37,50.06,10,50
37,54.13,11,54
37,58.39,12,58
42,14.29,1,14
42,18.13,2,18
42,22.06,3,22
42,26,4,26
42,30.03,5,30
42,34.19,6,34
42,38.74,7,38
42,42.48,8,42
42,46.06,9,46
42,49.71,10,50
42,NA,11,54
42,57.45,12,58
43,14.06,1,14
43,18.52,2,18
43,21.87,3,22
43,26.06,4,26
43,29.74,5,30
43,33.9,6,34
43,38.03,7,38
43,42.32,8,42
43,46.45,9,46
43,50.19,10,50
43,53.68,11,54
43,57.23,12,58
44,14.19,1,14
44,18.61,2,18
44,22.68,3,22
44,27.06,4,26
44,30.45,5,30
44,34.45,6,34
44,38.39,7,38
44,42.32,8,42
44,46.16,9,46
44,50.48,10,50
44,53.65,11,54
44,58.35,12,58
48,13.58,1,14
48,17.94,2,18
48,21.71,3,22
48,26.65,4,26
48,30.35,5,30
48,34.26,6,34
48,37.71,7,38
48,41.68,8,42
48,46.1,9,46
48,48.74,10,50
48,53.97,11,54
48,57.23,12,58
50,13.9,1,14
50,18.1,2,18
50,21.81,3,22
50,26,4,26
50,30.03,5,30
50,33.94,6,34
50,38.32,7,38
50,41.71,8,42
50,46.16,9,46
50,52.35,10,50
50,54.39,11,54
50,58.39,12,58
62,14.06,1,14
62,19.1,2,18
62,22.16,3,22
62,25.81,4,26
62,30.39,5,30
62,34.74,6,34
62,39.26,7,38
62,42.35,8,42
62,47.16,9,46
62,49.94,10,50
62,54.71,11,54
62,59.29,12,58
74,13.94,1,14
74,17.77,2,18
74,21.77,3,22
74,26.06,4,26
74,30.42,5,30
74,34.1,6,34
74,38.26,7,38
74,42.16,8,42
74,46.29,9,46
74,50.16,10,50
74,54.16,11,54
74,58.97,12,58
77,14.16,1,14
77,18.19,2,18
77,22.06,3,22
77,26.48,4,26
77,29.81,5,30
77,33.74,6,34
77,38.29,7,38
77,42,8,42
77,45.71,9,46
77,50.35,10,50
77,54.65,11,54
77,58.29,12,58
78,14.35,1,14
78,18.32,2,18
78,22.45,3,22
78,26.06,4,26
78,29.97,5,30
78,34.13,6,34
78,38.23,7,38
78,43.06,8,42
78,46.29,9,46
78,50.84,10,50
78,54.13,11,54
78,59.03,12,58
84,14.26,1,14
84,17.94,2,18
84,22.52,3,22
84,26.13,4,26
84,30.1,5,30
84,34.06,6,34
84,38.32,7,38
84,42.06,8,42
84,45.77,9,46
84,50.06,10,50
84,54.03,11,54
84,57.97,12,58
88,14.03,1,14
88,18.23,2,18
88,22.26,3,22
88,26.19,4,26
88,30.1,5,30
88,34.03,6,34
88,37.97,7,38
88,42.29,8,42
88,46.45,9,46
88,50.06,10,50
88,54.1,11,54
88,58.13,12,58
92,13.74,1,14
92,17.77,2,18
92,22.55,3,22
92,25.94,4,26
92,29.84,5,30
92,34,6,34
92,37.68,7,38
92,42,8,42
92,45.68,9,46
92,50.81,10,50
92,53.81,11,54
92,58.29,12,58
103,14,1,14
103,17.87,2,18
103,22.1,3,22
103,26.1,4,26
103,29.9,5,30
103,34.16,6,34
103,38.45,7,38
103,41.97,8,42
103,46.16,9,46
103,50.03,10,50
103,53.77,11,54
103,58.35,12,58
105,14,1,14
105,17.74,2,18
105,22.06,3,22
105,26.03,4,26
105,29.87,5,30
105,33.84,6,34
105,38.19,7,38
105,42.9,8,42
105,46.32,9,46
105,51.1,10,50
105,54.48,11,54
105,59.39,12,58
