id,subject,session,subses,age_months,speaker,canon,form,gloss,relation,rm,position,preference,request,intent,repair,interact,report,pcg_utts,chi_utts,PtoC,mean_PtoC,sd_PtoC,sd1_include,sd2_include,low_PtoC,logPtoC,mean_logPtoC,sd_logPtoC,sd1_loginclude,sd2_loginclude,low_logPtoC,ses_gest
10240300839,24,3,243,22.52,CHI,non-canonical,pug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,759,289,2.6262975778546713,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,0.9655750892831978,0.8437884329181519,0.7635262892768346,TRUE,TRUE,FALSE,2
10240300842,24,3,243,22.52,CHI,canonical,pug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,759,289,2.6262975778546713,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,0.9655750892831978,0.8437884329181519,0.7635262892768346,TRUE,TRUE,FALSE,2
10240400948,24,4,244,26.45,CHI,canonical,pug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,843,431,1.9559164733178653,1.9617046520534007,1.1976932068042234,TRUE,TRUE,FALSE,0.6708588678981077,0.4854144257707947,0.6711767096826904,TRUE,TRUE,FALSE,3
10240401270,24,4,244,26.45,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,2,1,NA,NA,NA,843,431,1.9559164733178653,1.9617046520534007,1.1976932068042234,TRUE,TRUE,FALSE,0.6708588678981077,0.4854144257707947,0.6711767096826904,TRUE,TRUE,FALSE,3
10240401276,24,4,244,26.45,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,1,1,1,NA,NA,843,431,1.9559164733178653,1.9617046520534007,1.1976932068042234,TRUE,TRUE,FALSE,0.6708588678981077,0.4854144257707947,0.6711767096826904,TRUE,TRUE,FALSE,3
10240501721,24,5,245,29.94,CHI,NA,point,turn_1,rf,NA,1,NA,3,1,NA,1,NA,1245,973,1.2795477903391572,2.2181029471766,1.8087829342565866,TRUE,TRUE,FALSE,0.2465067267128029,0.5467476282053516,0.7001396660048684,TRUE,TRUE,FALSE,1
10240600112,24,6,246,33.84,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,912,1060,0.8603773584905661,1.2754599135695006,0.6735547886080436,TRUE,TRUE,FALSE,-0.1503841970317814,0.08756462112176665,0.6225686890400608,TRUE,TRUE,FALSE,9
10240601071,24,6,246,33.84,CHI,canonical,pug,disinvest_0,rf,lp,3,NA,2,2,NA,NA,NA,912,1060,0.8603773584905661,1.2754599135695006,0.6735547886080436,TRUE,TRUE,FALSE,-0.1503841970317814,0.08756462112176665,0.6225686890400608,TRUE,TRUE,FALSE,9
10240601072,24,6,246,33.84,CHI,canonical,pug,disinvest_0,rf,lp,3,NA,2,2,NA,NA,NA,912,1060,0.8603773584905661,1.2754599135695006,0.6735547886080436,TRUE,TRUE,FALSE,-0.1503841970317814,0.08756462112176665,0.6225686890400608,TRUE,TRUE,FALSE,9
10240601074,24,6,246,33.84,CHI,canonical,shrug+pug,disinvest_0,rf,lp,3,NA,2,2,NA,NA,NA,912,1060,0.8603773584905661,1.2754599135695006,0.6735547886080436,TRUE,TRUE,FALSE,-0.1503841970317814,0.08756462112176665,0.6225686890400608,TRUE,TRUE,FALSE,9
