,1,2,3,4,5,6,7,8,9,10,11,12
22,1.827956989,1.729381443,2.265217391,2.939698492,4.130605822,4.922065728,5.108695652,5.020289855,5.085612366,5.452933151,4.53452381,4.328719723
24,1.592592593,1.708609272,2.207048458,2.506112469,4.03777336,4.420095694,4.22960373,4.86423221,5.964285714,4.769859813,6.590219224,6.196403873
25,1.5,2.058823529,2.008264463,2.372456964,2.775257732,3.428729282,4.584615385,4.371391918,4.879923761,5.096650718,4.529874214,4.712778429
27,,2.461538462,1.787878788,1.826185102,2.347938144,3.001273885,3.963875205,3.679245283,4.075675676,6.007415254,5.229508197,3.382608696
28,1.428571429,2.314285714,1.732394366,1.937878788,2.431643625,3.168695652,4.006124234,4.955835962,4.745454545,4.847402597,4.478454681,5.027472527
29,1.877192982,2.280788177,2.966611018,3.899293286,5.236212279,5.407741935,6.428425358,6.01241535,6.389752973,5.752525253,4.696646341,5.38700565
33,1.8,1.941747573,1.785714286,2.966861598,3.585416667,5.154716981,5.157434402,5.843478261,5.593137255,6.25245098,4.404761905,4.834821429
37,1.689655172,1.850746269,2.070234114,3.105485232,3.169082126,5.166990291,5.358558559,5.168761221,3.518817204,4.779220779,4.901639344,4.928205128
38,2.189189189,1.836842105,2.652259332,3.547554348,3.954478708,4.806603774,5.20414673,5.582692308,5.60815822,5.898617512,6.089974293,5.846153846
39,2.008,2.172169811,2.505555556,3.887230514,4.536321484,5.09607438,5.268053856,5.091149273,5.704081633,5.524242424,4.660349854,5.498680739
40,1.866666667,1.703125,2.290178571,3.572607261,3.812162162,5.113975577,3.855971897,4.645898235,4.99730821,5.947096774,7.007462687,5.504731861
42,1,1.333333333,1.527777778,1.690707351,3.581944444,4.21438646,5.420289855,4.766666667,5.23100304,5.781885397,,5.531914894
43,2.140939597,1.886104784,2.429735234,3.503937008,6.302287582,5.749279539,5.733221477,6.474226804,7.358974359,6.167105263,5.889818689,5.17211704
44,1.777777778,2.024096386,2.448347107,4.365638767,4.88,5.469565217,5.811091854,6.03776435,6.285067873,6.245492372,4.521394612,5.942794279
45,2.304347826,1.758865248,1.950757576,4.111225541,5.362422998,4.490413724,5.336422614,5.69119171,5.580838323,5.061702128,5.463114754,5.597368421
47,4,2.875,2.58203125,2.767062315,2.965641953,3.726530612,4.900302115,4.48431105,5.265804598,4.88490566,5.359625668,5.049062049
48,1.545454545,1.866666667,1.731092437,1.820408163,2.400862069,3.632945389,4.595703125,4.89480198,5.185344828,5.19197397,3.888125613,5.018518519
49,4,1.775,2.016447368,2.458737864,2.590051458,3.834752981,4.457605985,5.011976048,4.913518887,6.868189807,4.593294461,4.721498371
50,2,1.786764706,1.935222672,4.334375,4.944,5.18616145,4.27176781,5.153716216,5.457925636,5.862021858,4.370523416,5.188191882
51,2,2,2.06744868,2.193181818,3.419398907,4.044471154,4.572815534,4.552447552,5.88707483,5.755142018,3.900726392,5.143841516
54,1.793577982,1.765458422,2.329479769,3.573072497,4.506627393,5.223175966,5.686206897,5.171156894,,6.313253012,5.636639676,5.732997481
55,1.819548872,2.278571429,2.619230769,3.049382716,3.055555556,4.207509881,4.46130031,5.951612903,5.852191641,5.221153846,6.186490455,4.997275204
58,1.865384615,1.882716049,1.971486762,3.686700767,4.033464567,5.178723404,6.523878437,5.233894945,6.113459399,5.405479452,4.991758242,5.108144192
59,2,2.18220339,1.659459459,2.246231156,,3.601604278,5.040322581,5.752755906,4.774886878,5.479919679,4.912205567,5.417417417
61,1.870967742,1.393665158,1.968503937,2.602020202,3.070754717,3.773388773,4.310810811,4.459369818,5.35426009,4.931192661,3.787234043,5.162721893
62,2.666666667,1.883561644,1.90625,3.1414791,4.048780488,3.503225806,4.138401559,4.27864215,5.864,6.009063444,4.578869048,4.064853556
64,2.028571429,1.884615385,1.594202899,1.940092166,2.787644788,2.83880597,3.294627383,3.317808219,2.712209302,4.043659044,4.7875,4.398724083
65,2.638297872,1.841176471,1.790737564,2.508609272,6.812612613,6.87196468,6.790880503,5.974576271,8.03853211,6.155251142,6.818181818,5.766423358
66,1.714285714,2.00678733,3,3.939655172,4.276717557,5.04029304,4.79375,6.350453172,5.713523132,5.655172414,5.4375,5.063583815
68,1.217391304,1.711538462,2.324324324,3.315436242,4,4.016129032,3.331223629,4.890052356,4.17721519,4.197368421,4.595567867,
72,,1,1.830508475,3.146974063,5.826589595,4.60755814,6.482435597,6.15625,6.440251572,4.667857143,5.103825137,4.771428571
